OrganisasjonsNummer;BrregNavn;AntallAnsatte;Kode;Kode;Slettedato;Konkurs
812388592;HELGA LIND GÅRDEN;0;N/A;ESEK;;False
820530942;Helgeland Hogst AS;4;02.400;AS;;False
823130422;HELGELAND REVISJON AS;7;69.202;AS;;False
817364462;HELMER LUNDGREENS GATE 2 AS;0;68.209;AS;;False
815847822;HELT RENT TJENESTER AS;28;81.210;AS;;False
817719902;HEMJERN AS;0;72.190;AS;;False
818398832;HENRIKS VEI UTVIKLING AS;0;41.109;AS;;False
813694832;HENRIKSEN BYGG AS;12;41.200;AS;;False
812070592;Herbrandsen Invest AS;1;00.000;AS;;False
821971462;Hexeberg Holding AS;2;43.120;AS;;False
816505682;HFB Lofoten AS;0;68.209;AS;;False
818312512;Hi5 Film AS;9;59.110;AS;;False
813369702;HILUX AS;4;90.020;AS;;False
822111432;HJELPEMIDLER ØST AS;1;46.460;AS;;False
819888132;HJEM & INTERIØR KOMOROWSKA;0;43.341;ENK;;False
820847032;HJORTERO HYTTER AS;1;41.109;AS;;False
816195322;HNP 4 AS;0;68.209;AS;;False
816195292;HNP INFRA 2 AS;0;42.110;AS;;False
814467902;HOUSE OF HAIR AS;7;96.020;AS;;False
821249902;Hov Eiendom og Utleie AS;0;68.100;AS;;False
815686322;HQ SERVICES AS;0;93.130;AS;;False
814633462;HS INVEST AS;0;68.209;AS;;False
821888522;Huddlestock Fintech AS;3;62.010;AS;;False
821620392;HUG BETONG AS;24;68.209;AS;;False
822906222;HUSTADVIKA TRAFIKKSKOLE AS;2;85.530;AS;;False
820901312;HV VII Invest Foxtrot AS;0;00.000;AS;;False
817950892;HYLKJE NÆRINGSBYGG 12 AS;0;68.209;AS;;False
816572932;HØGEBAKKEN EIENDOM AS;0;68.209;AS;;False
817798772;HØSTBAKKEN EIENDOMSSERVICE AS;2;81.101;AS;;False
812536532;HAAGAAS INVEST AS;0;68.100;AS;;False
823212852;IH3 EIENDOM AS;0;68.209;AS;;False
819626472;IMN INNOVATION MEDICAL NORWAY JENS KJELDGAARD;0;46.180;ENK;;False
819952892;IN HOUSE EIENDOMSMEGLING AS;6;68.310;AS;;False
819272182;IN THE PARK AS;1;90.011;AS;;False
